geoname_id	name	ascii_name	alternate_names	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
5558953	Arcata	Arcata	ACV,Arkata,Arkejta,a ke ta,aketa,arkata  hwmbwldt  kalyfwrnya,arkata  kalyfrnya,arketa,Арката,Аркејта,آرکاتا، کالیفرنیا,أركاتا، هومبولدت، كاليفورنيا,आर्केटा,アーケータ,阿克塔	40.866520	-124.082840	P	PPL	US		CA	023			17231	7	8	America/Los_Angeles	2011-05-14
5559320	Bayside	Bayside		40.842350	-124.063670	P	PPL	US		CA	023			17132	9	10	America/Los_Angeles	2010-10-07
5559327	Bayview	Bayview		40.772630	-124.183950	P	PPL	US		CA	023			2510	20	18	America/Los_Angeles	2011-05-14
5560020	Blue Lake	Blue Lake		40.882910	-123.983950	P	PPL	US		CA	023			1253	40	42	America/Los_Angeles	2011-05-14
5563397	Eureka	Eureka	EKA,Ehvrika,Jurika,awrka  kalyfrnya,awryka  hwmbwldt  kalyfwrnya,you li ka,yulika,yureka,Јурика,Эврика,Юрика,إوريكا، هومبولدت، كاليفورنيا,اورکا، کالیفرنیا,युरेका,ユーレカ,尤里卡,유리카	40.802070	-124.163670	P	PPLA2	US		CA	023			27191	12	15	America/Los_Angeles	2013-04-14
5563573	Ferndale	Ferndale	Ferndejl,Furndejl,fen dai er,frndyl  kalyfrnya,fyrndaly  hwmbwldt  kalyfwrnya,pharnadela,Ферндејл,Фърндейл,فرندیل، کالیفرنیا,فيرندالي، هومبولدت، كاليفورنيا,फर्नडेल,芬代尔	40.576240	-124.263940	P	PPL	US		CA	023			1371	17	17	America/Los_Angeles	2011-05-14
5563839	Fortuna	Fortuna	Fortjuna,Fortuna,fochuna,fu tu na,fwrtwna  hwmbwldt  kalyfwrnya,fwrtwna  kalyfrnya,pharcyuna,Фортуна,Фортјуна,فورتونا، هومبولدت، كاليفورنيا,فورتونا، کالیفرنیا,फर्च्युना,フォーチュナ,福图纳	40.598190	-124.157280	P	PPL	US		CA	023			11926	20	20	America/Los_Angeles	2011-05-14
5565511	Humboldt Hill	Humboldt Hill		40.725960	-124.189780	P	PPL	US		CA	023			3414	59	91	America/Los_Angeles	2011-05-14
5565589	Hydesville	Hydesville		40.547630	-124.097270	P	PPL	US		CA	023			1237	111	113	America/Los_Angeles	2011-05-14
5567770	McKinleyville	McKinleyville		40.946520	-124.100620	P	PPL	US		CA	023			15177	44	44	America/Los_Angeles	2011-05-14
5568514	Myrtletown	Myrtletown		40.788740	-124.130340	P	PPL	US		CA	023			4675	34	33	America/Los_Angeles	2011-05-14
5569523	Pine Hills	Pine Hills		40.733180	-124.152280	P	PPL	US		CA	023			3131	128	130	America/Los_Angeles	2011-05-14
5570171	Redway	Redway		40.120140	-123.823360	P	PPL	US		CA	023			1225	164	163	America/Los_Angeles	2011-05-14
5570299	Rio Dell	Rio Dell		40.499300	-124.106440	P	PPL	US		CA	023			3368	49	43	America/Los_Angeles	2011-05-14
5573817	Willow Creek	Willow Creek		40.939580	-123.631440	P	PPL	US		CA	023			1710	186	191	America/Los_Angeles	2011-05-14
7262521	Westhaven-Moonstone	Westhaven-Moonstone		41.044890	-124.102390	P	PPL	US		CA	023			1205	146	155	America/Los_Angeles	2011-05-14
5562199	Cutten	Cutten		40.769850	-124.142840	P	PPL	US		CA	023			3108	61	60	America/Los_Angeles	2011-05-14
